OTU	Test-Statistic	P	FDR_P	Bonferroni_P	UBERON:saliva_mean	UBERON:sebum_mean	UBERON:feces_mean	taxonomy
320395	1409.89336125	7.00723316904e-307	1.557963967e-304	1.62028252568e-302	0.00196850393701	0.00625	3.25267665953	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4387092	1408.75389802	1.23873344721e-306	2.72792699999e-304	2.86432334999e-302	318.17519685	8.76041666667	1.86723768737	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
912997	1406.98706936	2.99667629842e-306	6.53699491022e-304	6.92921460484e-302	0.00196850393701	15.2354166667	0.331905781585	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__simulans
312453	1406.48667643	3.84856457756e-306	8.31685595578e-304	8.89903587268e-302	0.00196850393701	11.16875	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
4411138	1395.19642169	1.088795821e-303	2.33113201564e-301	2.51762257689e-299	161.403543307	33.2177083333	0.408993576017	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa
157748	1393.20589607	2.9456666037e-303	6.24886686949e-301	6.81126488774e-299	0.0157480314961	0.021875	5.77944325482	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
2307779	1390.87234785	9.46034878146e-303	1.98865131703e-300	2.18751644874e-298	0.00590551181102	0.0177083333333	5.21199143469	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__
4401957	1386.90747283	6.86860939849e-302	1.43083653262e-299	1.58822855121e-297	32.3011811024	0.913541666667	0.113490364026	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__
504674	1386.72014498	7.54304233759e-302	1.55730149975e-299	1.74417767972e-297	0.00393700787402	7.58125	0.0128479657388	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus;s__
4447248	1385.53189941	1.36637778426e-301	2.79599588543e-299	3.15947535054e-297	14.5570866142	0.439583333333	0.0620985010707	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
2222	1385.46491629	1.41291485799e-301	2.86586230362e-299	3.26708302613e-297	15.4625984252	0.451041666667	0.111349036403	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__pallens
4383918	1382.01466443	7.9310130288e-301	1.59468534143e-298	1.83388814265e-296	100.803149606	5.10625	0.867237687366	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
3723096	1380.64398339	1.57386787067e-300	3.13728851495e-298	3.63925467735e-296	50.9488188976	7.90104166667	0.177730192719	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
194686	1376.51579394	1.23991872575e-299	2.45048211073e-297	2.86706406955e-295	0.00196850393701	0.03125	2.68308351178	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
1696853	1372.70955347	8.31587276053e-299	1.62955869357e-296	1.92287925842e-294	50.0	15.571875	0.20556745182	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
4310398	1365.58868389	2.92539839192e-297	5.68436865683e-295	6.76439870163e-293	121.086614173	5.02604166667	0.950749464668	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__nanceiensis
271159	1362.94994181	1.09441133189e-296	2.1088394356e-294	2.53060732272e-292	25.4330708661	4.01354166667	0.130620985011	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
749837	1361.63258249	2.11466472802e-296	4.04110681868e-294	4.88973925061e-292	34.407480315	1.29583333333	0.190578158458	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
4328910	1361.05908191	2.81692699525e-296	5.33900023861e-294	6.51358029111e-292	35.7342519685	2.13020833333	0.293361884368	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
3931537	1359.2036641	7.12318868983e-296	1.33910156159e-293	1.64709492075e-291	0.00984251968504	0.0447916666667	5.57173447537	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
4391625	1356.66895601	2.52975997263e-295	4.71739031026e-293	5.84956398472e-291	29.8582677165	2.86875	0.145610278373	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
730906	1354.15660234	8.8844385069e-295	1.64347897276e-292	2.05434871595e-290	0.00984251968504	0.0177083333333	2.89935760171	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
4121939	1347.64105525	2.30920802664e-293	4.23776326985e-291	5.33958172001e-289	0.0	8.221875	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes
4439603	1346.0213636	5.19008692273e-293	9.44963621372e-291	1.20010379914e-288	72.7775590551	5.86770833333	0.276231263383	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
