OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo17681	213.42545249	4.5211804694e-47	1.50507211967e-44	7.07383896243e-43	0.0125786163522	1.15217391304	0.0238095238095	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo17929	211.991079041	9.26236902486e-47	3.01914637006e-44	1.44919025763e-42	0.771488469602	60.9130434783	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
denovo6808	208.958395352	4.21949984756e-46	1.347312135e-43	6.60182946149e-42	0.184486373166	0.0	38.7857142857	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo12174	205.001251568	3.05171400221e-45	9.54942345572e-43	4.77471172786e-41	0.492662473795	9.95652173913	0.0238095238095	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__
denovo11100	204.832486613	3.32040206022e-45	1.01864726734e-42	5.19510106343e-41	0.0796645702306	0.0	1.2380952381	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo17561	204.638464237	3.65866038808e-45	1.10083462369e-42	5.72434004319e-41	0.0	0.0	0.595238095238	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo8523	203.903072835	5.28457799896e-45	1.5600473089e-42	8.26825073717e-41	0.427672955975	13.9565217391	0.0714285714286	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo18623	199.298187412	5.28382562567e-44	1.53093955073e-41	8.26707357392e-40	0.637316561845	29.3695652174	0.0238095238095	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__
denovo16061	197.154323216	1.54341484131e-43	4.39059429221e-41	2.41482686071e-39	0.0020964360587	0.652173913043	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella
denovo16283	196.3207032	2.34153664213e-43	6.54208612549e-41	3.66356823028e-39	0.0901467505241	0.0	1.54761904762	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo12216	195.752688518	3.11059721879e-43	8.53831650616e-41	4.86684040851e-39	0.0377358490566	3.02173913043	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo7735	190.621249384	4.04689214101e-42	1.09168404204e-39	6.33176744383e-38	0.0125786163522	1.13043478261	0.0238095238095	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo22289	186.046793289	3.98521860785e-41	1.05682593794e-38	6.23527303384e-37	0.146750524109	2.13043478261	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
denovo858	185.811877631	4.4819131485e-41	1.16873355202e-38	7.01240131214e-37	0.0461215932914	2.0652173913	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
denovo13961	185.712405693	4.71046187745e-41	1.20819486122e-38	7.36998865345e-37	0.0146750524109	1.04347826087	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula
denovo511	184.869682118	7.17891138471e-41	1.8116330246e-38	1.12321247525e-36	0.0083857442348	0.0	0.761904761905	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
