OTU	Test-Statistic	P	FDR_P	Bonferroni_P	acidic_mean	neutral_mean	basic/neutral_mean	acidic/neutral_mean	basic_mean	taxonomy
521208	22.066083616	0.000194440285374	0.048107844979	1.0	0.705882352941	0.0	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
203969	22.0168599161	0.000198877587956	0.048107844979	1.0	1.05882352941	0.117647058824	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
78648	21.8984935438	0.000209963148258	0.048107844979	1.0	0.411764705882	0.0	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
4478794	21.8984935438	0.000209963148258	0.048107844979	1.0	0.411764705882	0.0	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
1128025	21.8767507003	0.000212065086364	0.048107844979	1.0	0.411764705882	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
DeNovoOTU14519	21.8767507003	0.000212065086364	0.048107844979	1.0	0.352941176471	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU16303	21.8767507003	0.000212065086364	0.048107844979	1.0	0.352941176471	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU34773	21.8767507003	0.000212065086364	0.048107844979	1.0	0.411764705882	0.0	0.0	0.0	0.0	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__;s__
218105	21.8659792819	0.000213114103678	0.048107844979	1.0	0.0	0.764705882353	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
113212	21.8659792819	0.000213114103678	0.048107844979	1.0	1.23529411765	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU20214	21.7818115645	0.000221490270646	0.049381392563	1.0	0.705882352941	0.0	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
814193	21.6897233812	0.000231028950217	0.0508799001459	1.0	0.0	0.0	0.777777777778	0.0	0.388888888889	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__;s__
4341561	21.6341623707	0.000236979920867	0.051433833094	1.0	0.647058823529	0.0	0.0	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
154604	21.6134194782	0.000239240377645	0.051433833094	1.0	0.588235294118	0.0	0.0	0.111111111111	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
213177	21.5091302201	0.000250933291536	0.0533129919041	1.0	2.23529411765	0.764705882353	0.166666666667	0.888888888889	0.333333333333	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
216553	21.2671767894	0.000280288275417	0.0588572786717	1.0	0.352941176471	0.0	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
256536	20.8990841556	0.000331596283744	0.0682066986281	1.0	1.05882352941	0.0588235294118	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU17045	20.894006192	0.000332365550655	0.0682066986281	1.0	0.0	0.0	0.5	0.0	1.05555555556	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Segetibacter;s__
804187	20.7792775517	0.000350225013959	0.0710641969335	1.0	0.0	0.352941176471	0.722222222222	0.0	0.0555555555556	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
DeNovoOTU22054	20.5688057041	0.000385495376567	0.0758314174586	1.0	0.0	0.0	0.222222222222	0.0	0.555555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
829954	20.5619703724	0.00038669797161	0.0758314174586	1.0	0.0	0.529411764706	0.833333333333	0.0	0.111111111111	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
226506	20.4893034953	0.000399714853126	0.0758314174586	1.0	0.941176470588	0.176470588235	0.0	1.33333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
1132745	20.3795914555	0.000420194247105	0.0758314174586	1.0	0.0	0.0	0.0555555555556	0.0	0.444444444444	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__
836732	20.3787757498	0.000420350337724	0.0758314174586	1.0	0.0	0.0	0.611111111111	0.0	0.0555555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__
1118913	20.3703703704	0.000421962110369	0.0758314174586	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
DeNovoOTU3327	20.3703703704	0.000421962110369	0.0758314174586	1.0	0.0	0.0	0.0	0.0	0.333333333333	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
580190	20.3647970816	0.000423034188816	0.0758314174586	1.0	0.0	0.0	0.0	0.0	0.388888888889	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
370124	20.3647970816	0.000423034188816	0.0758314174586	1.0	0.0	0.0	0.0	0.0	0.388888888889	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__
833324	20.3647970816	0.000423034188816	0.0758314174586	1.0	0.0	0.0	0.0	0.0	0.611111111111	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
DeNovoOTU37259	20.3603406459	0.000423893369777	0.0758314174586	1.0	0.0	0.0	0.0	0.0	0.888888888889	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
824855	20.3592268417	0.000424108376063	0.0758314174586	1.0	0.0	0.0	0.0	0.0	4.88888888889	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium;s__
4403247	20.3052651955	0.000434655401926	0.0769553127783	1.0	0.0	0.0	0.0555555555556	0.0	0.444444444444	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
205635	20.2512866462	0.000445465537953	0.0771183626907	1.0	0.882352941176	0.705882352941	0.0555555555556	0.5	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
1137124	20.2369194591	0.000448387401436	0.0771183626907	1.0	0.0	0.0	0.0555555555556	0.0	0.333333333333	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
DeNovoOTU3965	20.2369194591	0.000448387401436	0.0771183626907	1.0	0.0	0.0	0.333333333333	0.0	0.0555555555556	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Kribbella;s__
294313	20.0606184416	0.000485824867766	0.0812606660905	1.0	0.647058823529	0.117647058824	0.0	0.388888888889	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
511024	20.0598927931	0.000485985182563	0.0812606660905	1.0	0.0	0.705882352941	0.333333333333	0.0555555555556	1.11111111111	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
1137157	20.0580036189	0.000486402796448	0.0812606660905	1.0	0.0	0.0	0.388888888889	0.0	0.666666666667	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
511074	20.0396845053	0.000490470823626	0.0812606660905	1.0	0.588235294118	0.235294117647	0.0555555555556	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
DeNovoOTU19440	19.8703703704	0.000529700081204	0.0869623069678	1.0	0.0	0.0	0.111111111111	0.0	0.611111111111	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
DeNovoOTU22125	19.7798650289	0.000551927547664	0.0897951313808	1.0	0.0	0.0	0.222222222222	0.0	0.555555555556	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
2427929	19.7158343012	0.000568208206649	0.0916185000345	1.0	0.0	0.0	0.111111111111	0.0	0.333333333333	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__;s__
DeNovoOTU18203	19.5225331368	0.000620296288277	0.0991321298229	1.0	0.588235294118	0.0	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
161630	19.4401104172	0.00064391817145	0.102004546125	1.0	1.11764705882	0.0588235294118	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
3243803	19.3831397841	0.000660763666302	0.103762878693	1.0	0.470588235294	0.0	0.0	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
699085	19.2469432217	0.000702822804023	0.109416181188	1.0	0.529411764706	0.0	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
